2016-12-01 17:12:55,600 | ERROR | pool-1-thread-20 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:14:55,037 | ERROR | pool-1-thread-7  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 17:15:02,686 | ERROR | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 17:15:09,020 | ERROR | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 17:29:06,279 | ERROR | pool-1-thread-8  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:29:36,547 | ERROR | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:30:15,296 | ERROR | pool-1-thread-10 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:31:07,497 | ERROR | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 18:27:18,596 | ERROR | pool-1-thread-11 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:27:20,998 | ERROR | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:27:25,642 | ERROR | pool-1-thread-14 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:27:29,034 | ERROR | pool-1-thread-12 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:28:17,595 | ERROR | pool-1-thread-14 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:30:46,583 | ERROR | main             | IncomeReportApiJob               | n.jobschedule.IncomeReportApiJob   38 | Address already in use: bind
2016-12-01 19:02:55,554 | ERROR | pool-1-thread-12 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 19:03:31,003 | ERROR | pool-1-thread-7  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 19:04:43,431 | ERROR | pool-1-thread-16 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
