2016-12-01 17:12:55,597 | INFO  | pool-1-thread-20 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | 
2016-12-01 17:12:55,600 | ERROR | pool-1-thread-20 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:13:04,457 | INFO  | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodType=123&startDate=2016:11:29&endDate=2016:11:29
2016-12-01 17:14:52,744 | INFO  | pool-1-thread-14 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:14:55,036 | INFO  | pool-1-thread-7  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:14:55,037 | ERROR | pool-1-thread-7  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 17:15:02,686 | INFO  | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:15:02,686 | ERROR | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 17:15:09,019 | INFO  | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:15:09,020 | ERROR | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 17:15:46,076 | INFO  | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:29:06,102 | INFO  | pool-1-thread-8  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:29:06,279 | ERROR | pool-1-thread-8  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:29:36,372 | INFO  | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:29:36,547 | ERROR | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:30:08,956 | INFO  | pool-1-thread-10 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:30:15,296 | ERROR | pool-1-thread-10 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:30:39,195 | INFO  | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 17:31:07,497 | ERROR | pool-1-thread-15 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | 
2016-12-01 17:32:54,424 | INFO  | pool-1-thread-19 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29\
2016-12-01 17:37:03,570 | INFO  | pool-1-thread-11 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 18:27:07,589 | INFO  | pool-1-thread-9  | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=payout&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 18:27:18,568 | INFO  | pool-1-thread-11 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 18:27:18,596 | ERROR | pool-1-thread-11 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:27:20,995 | INFO  | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 18:27:20,998 | ERROR | pool-1-thread-17 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:27:25,639 | INFO  | pool-1-thread-14 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 18:27:25,642 | ERROR | pool-1-thread-14 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
2016-12-01 18:27:29,031 | INFO  | pool-1-thread-12 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   29 | methodtype=123&startdate=2016:11:29&enddate=2016:11:29
2016-12-01 18:27:29,034 | ERROR | pool-1-thread-12 | CampaignOnlineServlet            | n.servlets.CampaignOnlineServlet   41 | state should be: open
